ORIG_TERMINAL_ID,ORIG_DEPT,DEST_TERMINAL_ID,DEST_DEPT,MODE,IMP_EXP_IND,GL_DATE,TRANSPORT_DATE,WB_DATE,ETD,ATD,ETA,ATA,SHIP_TYPE,SERVICE_TYPE,SHIPPER_CODE,SHIPPER_PARENT_ID,SHIPPER_NAME,SHIPPER_INDUSTRY_CODE,SHIPPER_PARENT_NAME,CNEE_CODE,CNEE_PARENT_ID,CNEE_NAME,CNEE_INDUSTRY_CODE,CNEE_PARENT_NAME,CARRIER,FLIGHT_NO,VESSEL_NAME,PORT_LOADING,ORIG_IATA_TC_CODE,ORIG_COUNTRY_CODE,PORT_UNLOADING,DEST_IATA_TC_CODE,DEST_COUNTRY_CODE,CREATED_BY,NUM_PIECES,TEU,CHARGEABLE_WEIGHT,VOLUME_WEIGHT,ACTUAL_WEIGHT,TOTAL_VOLUME,SALESMAN,CONTROLLING_CODE,CONTROLLING_NAME,is_delayed,departure_delay_hours,planned_transit_hours,month,day_of_week
6051,300,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302269256,302267969.0,HEWLETT-PACKARD SINGAPORE (PRIVATE),51-Computers,HP SINGAPORE (PRIVATE) LIMITED,202321532,302267969.0,HP EUROPE BV,,HP EUROPE BV,EGLV,182W,ITAL UNIVERSO,THLCH,TC3,TH,AEJEA,TC2,AE,prguru6501,1,2.0,49.41,49.41,8268.6,49.41,,302339745,HP INTERNATIONAL SARL,0,984.0,864.0,12,0
5304,4100,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302480912,,JOLLY BOARD PRIVATE LIMITED,89-Others_General merchandise,JOLLY BOARD PRIVATE LIMITED,6027720,,EMIRATES SPECIALITIES CO.(L.L.C.),,EMIRATES SPECIALITIES CO.(L.L.C.),MEDU,IU549R,MSC YOKOHAMA,INNSA,TC3,IN,AEJEA,TC2,AE,prguru6501,5,10.0,200.0,200.0,89090.0,200.0,,302480912,JOLLY BOARD PRIVATE LIMITED,0,984.0,864.0,12,0
8801,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,1,2.0,35.86,35.86,8750.2,35.86,,302348024,SCHENKER LLC,0,984.0,864.0,12,0
8801,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,2,4.0,89.977,89.977,22484.884,89.977,,302348024,SCHENKER LLC,0,984.0,864.0,12,0
8601,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,LCL,8028181,,"HONDA MOTORCYCLE(SHANGHAI) CO.,LTD.",,"HONDA MOTORCYCLE (SHANGHAI) CO.,LTD.",302269656,302164078.0,HONDA GULF FZE,,HONDA GULF FZE,ECUI,937W,NORTHERN GUARD,CNSHK,TC3,CN,AEJEA,TC2,AE,prguru6501,1,0.07472,1.868,1.868,227.0,1.868,,302269656,HONDA GULF FZE,0,984.0,864.0,12,0
8811,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302521817,302422007.0,"QINGDAO LONDON DUREX CO.,LTD.",31-Retailing,"QINGDAO LONDON DUREX CO.,LTD.",202318761,302422007.0,RECKITT BENCKISER ARABIA FZE,,RECKITT BENCKISER ARABIA FZE,HDMU,0022W,HMM RAON,CNTAO,TC3,CN,AEJEA,TC2,AE,sdsouz6501,1,1.0,25.0,25.0,3278.47,25.0,,202318761,RECKITT BENCKISER ARABIA FZE,0,984.0,864.0,12,0
8801,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,PCIU,0011W,KOTA PLUMBAGO,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,2,4.0,89.655,89.655,17757.84,89.655,,302348024,SCHENKER LLC,0,984.0,864.0,12,0
8801,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,7ESL,02552W,ESL WASL,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,2,4.0,76.505,76.505,18542.568,76.505,,302348024,SCHENKER LLC,0,984.0,864.0,12,0
8801,3211,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302115978,10048597.0,BOSCH (CHINA) INVESTMENT LTD.,56-Imaging Machine/Copying Machine,BOSCH (CHINA) INVESTMENT LTD.,302348024,,SCHENKER LLC,,SCHENKER LLC,12WW,008W,VARANYA BHUM,CNSHA,TC3,CN,AEJEA,TC2,AE,aulang6501,1,2.0,42.04,42.04,10867.58,42.04,,302348024,SCHENKER LLC,0,984.0,864.0,12,0
5200,300,6501,1,O,I,,2025-12-08,2025-12-27,2025-12-02,2026-01-12,2026-01-07,2025-12-22,HOUSE,FCL,302537367,302422007.0,RECKITT BENCKISER ENA B.V. C/O  ZOBELE ASIA PACIFIC (HONG KONG),,ZOBELE ASIA PACIFIC (HONG KONG) LIMITED (FOR RECKITT BENCKISER),202309530,302422007.0,SOAP & CHEMICALS INDUSTRIAL & TRADING,,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),EGLV,1703-082W,EVER LOGIC,CNSHK,TC3,HK,AEJEA,TC2,AE,sdsouz6501,1,2.0,73.8,73.8,10693.3,73.8,,202309530,SOAPS & CHEMICALS INDUSTRIAL & TRADING CO(RECKITT BENCKISER ONLY),0,984.0,864.0,12,0
